window_id,wall_time_str,wall_time_ms,algo_name,alpha,freq_idx,thread_idx,target_freq_khz,real_freq_khz,n_threads,samples,window_start_temp_c,window_max_temp_c,idle_avg_mW,tg_time_s,tg_energy_mJ,tg_avg_power_mW,dyn_avg_power_mW,dyn_energy_mJ,avg_steady_lat_s_per_token,avg_total_lat_s,avg_ftl_s,avg_overall_ts,avg_steady_ts,optimizer_time_ms
0,2025-06-11 23:47:12,1749656832956,GridSearch,0.5,7,2,2419200,2419200,3,3,39,56.1,1724.54,1.97386,1505.15,762.541,-961.999,-1898.85,0.0205519,1.18603,0.548921,80.9802,48.7841,0.06
1,2025-06-11 23:47:28,1749656848623,GridSearch,0.5,7,1,2419200,2419200,2,3,40.3,55,3431.43,2.40609,4463.13,1854.93,-1576.49,-3793.19,0.0249922,1.50273,0.727974,63.8872,40.0126,0.05
2,2025-06-11 23:47:51,1749656871237,GridSearch,0.5,7,0,2419200,2419200,1,3,39.3,49.2,2138.93,4.41906,4135.73,935.884,-1203.05,-5316.35,0.0459657,2.85267,1.42773,33.6527,21.7554,0.062
3,2025-06-11 23:48:10,1749656890689,GridSearch,0.5,6,2,2227200,2227200,3,3,40.7,55.4,3660.58,2.18883,1716.87,784.379,-2876.2,-6295.52,0.022368,1.30154,0.608127,73.8901,44.8769,0.052
4,2025-06-11 23:48:27,1749656907364,GridSearch,0.5,6,1,2227200,2227200,2,3,40.7,52.3,2217.31,2.6753,1955.66,731.005,-1486.3,-3976.31,0.0278501,1.66882,0.805462,57.526,35.9069,0.053
5,2025-06-11 23:48:51,1749656931999,GridSearch,0.5,6,0,2227200,2227200,1,3,39.6,47.9,1705.91,4.92271,4787.64,972.562,-733.344,-3610.04,0.0512375,3.18462,1.59626,30.1449,19.5169,0.069
6,2025-06-11 23:49:13,1749656953773,GridSearch,0.5,5,2,1881600,1881600,3,3,40,50.6,1096.78,2.39129,1722.86,720.471,-376.304,-899.853,0.024772,1.51449,0.746558,63.591,40.3696,0.064
7,2025-06-11 23:49:32,1749656972878,GridSearch,0.5,5,1,1881600,1881600,2,3,39.6,48.9,1423.17,3.25838,2388.67,733.086,-690.084,-2248.56,0.0337995,2.01194,0.964156,47.72,29.6029,0.08
8,2025-06-11 23:50:02,1749657002738,GridSearch,0.5,5,0,1881600,1881600,1,3,39,45.5,1620.93,5.83971,6681.57,1144.16,-476.768,-2784.19,0.0608123,3.7723,1.88712,25.4487,16.4441,0.095
9,2025-06-11 23:50:27,1749657027315,GridSearch,0.5,4,2,1651200,1651200,3,3,39.3,47.2,1378.63,3.06855,2183.91,711.706,-666.927,-2046.5,0.0320636,1.81382,0.819849,53.1512,31.6577,0.084
10,2025-06-11 23:50:48,1749657048960,GridSearch,0.5,4,1,1651200,1651200,2,3,39,46.5,1048.72,3.60837,2819.09,781.264,-267.46,-965.095,0.0375634,2.26955,1.10509,42.3005,26.6217,0.087
11,2025-06-11 23:51:22,1749657082700,GridSearch,0.5,4,0,1651200,1651200,1,3,38.3,43.8,992.505,6.62765,7507.69,1132.78,140.278,929.716,0.0690155,4.28354,2.14406,22.4114,14.4895,0.102
12,2025-06-11 23:51:50,1749657110273,GridSearch,0.5,3,2,1440000,1440000,3,3,39,46.1,1842.81,3.34641,3234.03,966.418,-876.39,-2932.76,0.0349422,1.98925,0.906038,48.4799,28.8545,0.088
13,2025-06-11 23:52:14,1749657134427,GridSearch,0.5,3,1,1440000,1440000,2,3,39,44.8,1100.79,4.08892,3112.72,761.258,-339.534,-1388.33,0.0425733,2.57784,1.25807,37.2437,23.4912,0.089
14,2025-06-11 23:52:52,1749657172155,GridSearch,0.5,3,0,1440000,1440000,1,3,38.3,42.7,1325.88,7.56359,8183.67,1081.98,-243.898,-1844.75,0.0787662,4.89572,2.45396,19.609,12.6959,0.091
15,2025-06-11 23:53:23,1749657203180,GridSearch,0.5,2,2,1209600,1209600,3,3,39,44.4,1791.25,3.97171,5910.25,1488.09,-303.165,-1204.08,0.0414155,2.3953,1.11142,40.2777,24.4997,0.099
16,2025-06-11 23:53:50,1749657230545,GridSearch,0.5,2,1,1209600,1209600,2,3,38.6,43.1,1220.03,4.84193,4111.63,849.172,-370.86,-1795.68,0.050418,3.05932,1.49636,31.38,19.8359,0.125
17,2025-06-11 23:54:33,1749657273775,GridSearch,0.5,2,0,1209600,1209600,1,3,37.6,41,886.931,8.99342,7576.9,842.494,-44.4379,-399.649,0.0936269,5.82393,2.92149,16.4838,10.6807,0.131
18,2025-06-11 23:55:12,1749657312759,GridSearch,0.5,1,2,883200,883200,3,3,37.9,42,1384.48,5.37058,4932.14,918.363,-466.119,-2503.33,0.0560659,3.31624,1.5782,29.0138,18.0106,0.128
19,2025-06-11 23:55:48,1749657348395,GridSearch,0.5,1,1,883200,883200,2,3,37.6,41.4,987.815,6.73989,6719.56,996.985,9.17014,61.8057,0.0702423,4.21148,2.03397,22.7952,14.237,0.151
20,2025-06-11 23:56:44,1749657404764,GridSearch,0.5,1,0,883200,883200,1,3,37.2,39.6,1021.54,12.2694,13523.9,1102.25,80.7103,990.266,0.127782,7.97327,4.01202,12.0402,7.82583,0.116
21,2025-06-11 23:57:37,1749657457217,GridSearch,0.5,0,2,633600,633600,3,3,36.9,40.3,1120.27,8.36721,9589.86,1146.12,25.8538,216.324,0.0846383,4.79607,2.17228,20.018,11.8315,0.169
22,2025-06-11 23:58:24,1749657504905,GridSearch,0.5,0,1,633600,633600,2,3,37.2,39.6,1125.42,9.28917,9023.03,971.349,-154.076,-1431.24,0.0964474,5.85596,2.8661,16.3942,10.3702,0.201
23,2025-06-11 23:59:40,1749657580157,GridSearch,0.5,0,0,633600,633600,1,3,36.2,39.3,914.892,17.9754,18319.6,1019.15,104.254,1874.01,0.187516,11.4545,5.64147,8.39005,5.35604,0.194
