cpu_mask,real_freq_khz,freq_mhz,n_threads,avg_steady_ts,avg_ftl_s,window_max_temp_c,avg_mJ_per_token
0x70,633600,633.6,3,11.8315,2.172280,40.3,44.8
0x70,883200,883.2,3,18.0106,1.578200,42.0,37.6
0x70,1209600,1209.6,3,24.4997,1.111420,44.4,31.8
0x70,1440000,1440.0,3,28.8545,0.906038,46.1,28.9
0x70,1651200,1651.2,3,31.6577,0.819849,47.2,27.6
0x70,1881600,1881.6,3,40.3696,0.746558,50.6,27.1
0x70,2227200,2227.2,3,44.8769,0.608127,55.4,28.4
0x70,2419200,2419.2,3,48.7841,0.548921,56.1,30.9
0xF0,633600,633.6,3,48.3402,0.496390,75.9,36.5
0xF0,883200,883.2,3,49.1583,0.496443,75.2,33.8
0xF0,1209600,1209.6,3,49.2764,0.498406,75.9,31.4
0xF0,1440000,1440.0,3,49.1898,0.500394,72.8,30.6
0xF0,1651200,1651.2,3,49.2503,0.498185,73.9,31.2
0xF0,1881600,1881.6,3,49.8049,0.477909,75.9,33.4
0xF0,2227200,2227.2,3,52.6051,0.428558,81.4,38.7
0xF0,2419200,2419.2,3,52.8963,0.417571,83.1,45.9
