real_freq_khz,freq_mhz,n_threads,avg_steady_ts,avg_ftl_s,window_max_temp_c,avg_mJ_per_token
633600,633.6,1,5.58526,6.13257,40.3,92.4
883200,883.2,1,7.82983,4.00721,40.7,78.6
1209600,1209.6,1,10.6829,2.92202,42.7,67.8
1440000,1440,1,12.7411,2.45612,44.1,61.5
1651200,1651.2,1,14.5174,2.14489,44.4,58.9
1881600,1881.6,1,16.5364,1.88823,45.8,57.8
2227200,2227.2,1,19.5618,1.5953,51.6,60.4
2419200,2419.2,1,21.7397,1.42864,52.8,64.9
633600,633.6,2,10.3239,2.8704,40.7,61.8
883200,883.2,2,14.633,2.05971,42.4,51.2
1209600,1209.6,2,19.7732,1.49114,44.8,43.9
1440000,1440,2,23.3415,1.24796,46.5,39.6
1651200,1651.2,2,26.8086,1.09285,47.9,37.8
1881600,1881.6,2,30.0203,0.957367,50.6,37.1
2227200,2227.2,2,35.4818,0.80223,54.4,39.5
2419200,2419.2,2,39.783,0.725736,57.4,42.7
633600,633.6,3,11.1119,2.02455,41.4,56.7
883200,883.2,3,17.66,1.57219,43.1,44.8
1209600,1209.6,3,22.7013,1.08105,45.5,37.2
1440000,1440,3,29.0727,0.98836,47.5,32.9
1651200,1651.2,3,33.7606,0.816717,49.6,31.1
1881600,1881.6,3,39.6872,0.758619,52.6,30.7
2227200,2227.2,3,43.5958,0.567884,57.4,32.8
2419200,2419.2,3,48.9384,0.561866,58.1,35.6
