window_id,wall_time_str,wall_time_ms,algo_name,alpha,freq_idx,thread_idx,target_freq_khz,real_freq_khz,n_threads,samples,window_start_temp_c,window_max_temp_c,idle_avg_mW,tg_time_s,tg_energy_mJ,tg_avg_power_mW,dyn_avg_power_mW,dyn_energy_mJ,avg_steady_lat_s_per_token,avg_total_lat_s,avg_ftl_s,avg_overall_ts,avg_steady_ts,optimizer_time_ms
0,2025-06-11 17:23:07,1749633787621,GridSearch,0.5,2,3,2419200,2419200,4,3,49.2,59.8,1358.16,334.973,136906,408.706,-949.457,-318043,3.49116,115.911,7.68534,0.828367,0.2865,0.051
1,2025-06-11 17:29:03,1749634143477,GridSearch,0.5,2,2,2419200,2419200,3,3,51.3,63.6,1302.51,2.73859,1426.21,520.781,-781.724,-2140.82,0.0285826,1.54837,0.66231,62.2383,35.0088,0.054
2,2025-06-11 17:29:16,1749634156690,GridSearch,0.5,2,1,2419200,2419200,2,3,50.9,63.6,1283.03,2.83396,931.916,328.839,-954.196,-2704.15,0.0295452,1.69013,0.774232,56.9153,33.932,0.047
3,2025-06-11 17:29:32,1749634172691,GridSearch,0.5,2,0,2419200,2419200,1,3,50.9,59.8,1302.37,4.5811,1337.71,292.006,-1010.36,-4628.58,0.0477172,2.90321,1.42398,33.0679,20.9593,0.064
4,2025-06-11 17:33:52,1749634432764,GridSearch,0.5,1,3,1555200,1555200,4,3,44.8,48.2,1595.83,364.792,479504,1314.46,-281.373,-102643,3.79534,126.589,8.9339,0.758411,0.263487,0.059
5,2025-06-11 17:40:22,1749634822088,GridSearch,0.5,1,2,1555200,1555200,3,3,44.8,51.6,1448.87,3.60656,2301.34,638.097,-810.777,-2924.12,0.0375434,2.1706,1.00675,44.3489,26.6425,0.061
6,2025-06-11 17:40:38,1749634838591,GridSearch,0.5,1,1,1555200,1555200,2,3,45.5,50.9,1459.85,3.97859,3011.32,756.881,-702.968,-2796.82,0.0414626,2.46093,1.17559,39.0147,24.1358,0.102
7,2025-06-11 17:41:00,1749634860143,GridSearch,0.5,1,0,1555200,1555200,1,3,44.4,48.5,1536.88,7.04409,7212.25,1023.87,-513.004,-3613.65,0.0733599,4.5531,2.27894,21.0846,13.6314,0.056
8,2025-06-11 17:46:25,1749635185531,GridSearch,0.5,0,3,633600,633600,4,3,41,42,1689.56,447.338,991669,2216.82,527.261,235864,4.6719,156.087,11.2583,0.615142,0.214089,0.138
9,2025-06-11 17:54:33,1749635673065,GridSearch,0.5,0,2,633600,633600,3,3,40.7,43.1,2248.49,12.9494,25393.6,1960.99,-287.506,-3723.03,0.133932,7.27127,3.11937,13.2122,7.49884,0.137
10,2025-06-11 17:55:12,1749635712929,GridSearch,0.5,0,1,633600,633600,2,3,41.4,43.4,2252.04,10.3915,19982,1922.92,-329.116,-3420.01,0.108492,6.4039,3.04064,14.9918,9.21725,0.146
11,2025-06-11 17:55:59,1749635759793,GridSearch,0.5,0,0,633600,633600,1,3,40.7,42.4,2283.58,17.3161,35929.8,2074.93,-208.655,-3613.11,0.179972,11.254,5.67489,8.53032,5.55644,0.107
