window_id,wall_time_str,wall_time_ms,algo_name,alpha,freq_idx,thread_idx,target_freq_khz,real_freq_khz,n_threads,samples,window_start_temp_c,window_max_temp_c,avg_energy_mJ,avg_steady_lat_s_per_token,avg_total_lat_s,avg_ftl_s,avg_overall_ts,avg_steady_ts,optimizer_time_ms
0,2025-06-19 14:32:50,1750314770915,GridSearch,0.5,7,2,2419200,2227200,3,5,414,58.1,16183,0.0210788,1.21575,0.562309,78.9821,47.4554,0.067
1,2025-06-19 14:32:57,1750314777046,GridSearch,0.5,0,0,1651200,1651200,1,5,554,55.4,36057.6,0.0688118,4.27676,2.14359,22.4471,14.5324,0.077
2,2025-06-19 14:33:18,1750314798476,GridSearch,0.5,0,1,1651200,1651200,2,5,441,47.9,13400.1,0.0372927,2.24345,1.08737,42.7923,26.8151,0.102
3,2025-06-19 14:33:29,1750314809747,GridSearch,0.5,0,2,1651200,1651200,3,5,468,49.6,15470.2,0.0282999,1.63642,0.759126,58.6737,35.3566,0.082
4,2025-06-19 14:33:37,1750314817983,GridSearch,0.5,1,0,1766400,1766400,1,5,492,49.2,31291.1,0.0642212,3.99684,2.00598,24.0191,15.5712,0.078
5,2025-06-19 14:33:58,1750314838021,GridSearch,0.5,1,1,1766400,1766400,2,5,441,49.2,18117.1,0.0350745,2.10494,1.01763,45.61,28.513,0.097
6,2025-06-19 14:34:08,1750314848596,GridSearch,0.5,1,2,1766400,1766400,3,5,482,51.6,14210.3,0.0270735,1.54354,0.704262,62.2198,36.9751,0.081
7,2025-06-19 14:34:16,1750314856365,GridSearch,0.5,2,0,1881600,1881600,1,5,506,50.6,36160.3,0.0604649,3.76038,1.88597,25.5294,16.5385,0.075
8,2025-06-19 14:34:35,1750314875218,GridSearch,0.5,2,1,1881600,1881600,2,5,451,50.3,19669.1,0.0330251,1.98061,0.956834,48.4707,30.28,0.075
9,2025-06-19 14:34:45,1750314885170,GridSearch,0.5,2,2,1881600,1881600,3,5,492,53,12373.7,0.0252543,1.44473,0.661849,66.449,39.598,0.074
10,2025-06-19 14:34:52,1750314892442,GridSearch,0.5,3,0,1996800,1996800,1,5,520,52,30072,0.0564217,3.52438,1.77531,27.239,17.7237,0.073
11,2025-06-19 14:35:10,1750314910111,GridSearch,0.5,3,1,1996800,1996800,2,5,472,52.3,14739.1,0.0304972,1.83626,0.890848,52.2805,32.79,0.059
12,2025-06-19 14:35:19,1750314919337,GridSearch,0.5,3,2,1996800,1996800,3,5,516,55.7,18353.7,0.0230734,1.33226,0.616983,72.0616,43.3447,0.057
13,2025-06-19 14:35:26,1750314926041,GridSearch,0.5,4,0,2112000,2112000,1,5,550,55,27748.9,0.0536521,3.34469,1.68147,28.7025,18.6387,0.069
14,2025-06-19 14:35:42,1750314942809,GridSearch,0.5,4,1,2112000,2112000,2,5,479,54.7,11515.5,0.0291197,1.74742,0.844711,54.9386,34.3417,0.055
